,item_name,main_category,sub_category,unit_buying_price,unit_selling_price,unit_price_margin,quantity,revenue,profit
389,Derana Veg Seeni Sambol 350G,Pantry Staples,Sauces,4.299999999999998,6.489999999999999,2.1899999999999995,26.0,168.74,56.93999999999998
202,Chilli Pieces Sera,Pantry Staples,Spices,1.6000000000000005,2.6000000000000005,1.0,26.0,67.60000000000001,26.0
1020,Swiss Roll Vanila,Pantry Staples,Sweet,1.7700000000000005,2.2272727269999995,0.45727272699999993,26.0,57.90909090199998,11.889090902
254,Corn Flour White 500G,Pantry Staples,Flour,1.3999999999999995,2.399999999999999,1.0,26.0,62.39999999999998,26.0
718,Mung Split 1Kg Pattu,Pantry Staples,Grains And Pulses,3.15,3.9899999999999993,0.84,25.0,99.74999999999999,21.0
331,Derana Ginger Minced 1Kg,Pantry Staples,Condiments,4.799999999999998,6.990000000000001,2.1899999999999995,25.0,174.75000000000003,54.749999999999986
536,Icing Gem 200G,Pantry Staples,Sugar,0.85,1.5454545449999992,0.6954545450000004,25.0,38.63636362499998,17.38636362500001
541,Indian Gate Classic 5Kg,Pantry Staples,Rice,19.0,24.5,5.5,25.0,612.5,137.5
606,Lite R/Raw Samba1Kg,Pantry Staples,Rice,2.100000000000001,3.5,1.3999999999999995,25.0,87.5,34.999999999999986
675,Md Sweet Chilli Sauce,Pantry Staples,Sauce,2.75,3.5,0.75,25.0,87.5,18.75
925,Richmi Mora Dried Fish 150G,Pantry Staples,Condiments,4.900000000000002,7.5,2.6000000000000005,25.0,187.5,65.00000000000001
853,Polos In Brine,Pantry Staples,Sauces,3.25,4.5,1.25,25.0,112.5,31.25
272,Cumin Ground 50G,Pantry Staples,Spices,1.1999999999999995,2.5,1.3000000000000005,24.0,60.0,31.20000000000001
291,Dearana Kooni Sambol 275G,Pantry Staples,Spices,4.900000000000002,6.990000000000001,2.090000000000001,24.0,167.76000000000002,50.160000000000025
46,Attiki Honey 500G,Pantry Staples,Condiments,12.0,15.0,3.0,24.0,360.0,72.0
461,Fried Onion & Maldive Fish Sambol,Pantry Staples,Condiment,4.950000000000002,7.990000000000002,3.0400000000000005,24.0,191.76000000000005,72.96000000000001
964,Sesame Balls 200G Araliya,Pantry Staples,Grains And Pulses,4.400000000000001,5.0,0.5999999999999999,24.0,120.0,14.399999999999995
653,Mastiha 15G,Pantry Staples,Spices,3.5,4.989999999999999,1.4899999999999993,23.0,114.77,34.269999999999996
663,Md Coconut Vinegar 350Ml,Pantry Staples,Vinegar,1.1000000000000003,1.9900000000000002,0.8900000000000002,23.0,45.77,20.470000000000006
338,Derana Indian Basmathi 5Kg,Pantry Staples,Rice,12.400000000000002,15.990000000000004,3.590000000000002,23.0,367.7700000000001,82.57000000000005
609,Lite Red Raw Samba 5Kg,Pantry Staples,Rice,9.800000000000004,13.5,3.7000000000000015,23.0,310.5,85.10000000000002
347,Derana Lime Pickle Sambol 400G,Pantry Staples,Pickle,3.7999999999999985,4.790000000000003,0.9899999999999997,23.0,110.17000000000006,22.769999999999992
1082,Vegetable Oil 2Lt,Pantry Staples,Oil,4.5,6.5,2.0,23.0,149.5,46.0
938,Rozana Basmati 5Kg,Pantry Staples,Rice,10.5,13.5,3.0,23.0,310.5,69.0
366,Derana Pork Curry Mix 350G,Pantry Staples,Spices,2.899999999999999,4.989999999999998,2.0900000000000007,23.0,114.76999999999997,48.07000000000002
311,Derana Chilli Pieces 250G,Pantry Staples,Spices,1.9500000000000004,2.5900000000000016,0.6400000000000002,23.0,59.570000000000036,14.720000000000004
898,Raw Sugar 1Kg,Pantry Staples,Sugar,1.7999999999999998,2.299999999999999,0.5,22.0,50.59999999999998,11.0
717,Mung Dhall 1Kg,Pantry Staples,Grains And Pulses,2.2800000000000007,3.99,1.7100000000000006,22.0,87.78,37.62000000000001
350,Derana Lunumiris,Pantry Staples,Sauce,3.7000000000000015,4.799999999999998,1.1000000000000003,22.0,105.59999999999997,24.200000000000006
345,Derana Kithul Jaggary 450G,Pantry Staples,Sugar,5.900000000000002,7.7,1.8,22.0,169.39999999999998,39.6
355,Derana Mustard Powder 200G,Pantry Staples,Spices,1.95,3.9900000000000007,2.0399999999999996,21.0,83.79000000000002,42.83999999999999
236,Coconut Sambol Veg La,Pantry Staples,Coconut Products,3.100000000000001,3.99,0.8900000000000002,21.0,83.79,18.690000000000005
359,Derana Papper Crush 200G,Pantry Staples,Spices,4.900000000000001,6.39,1.4899999999999993,21.0,134.19,31.289999999999985
982,Special White Flour 1Kg,Pantry Staples,Flour,1.6000000000000003,2.39,0.7899999999999997,21.0,50.190000000000005,16.589999999999996
942,Sago 250G,Pantry Staples,Pulses And Grains,1.25,2.25,1.0,21.0,47.25,21.0
644,Mango Chutney 450G Der,Pantry Staples,Condiments,3.3999999999999995,4.989999999999999,1.59,21.0,104.78999999999998,33.39
352,Derana Maldive F Sambol 200G,Pantry Staples,Sauce,4.950000000000001,6.989999999999999,2.0399999999999996,21.0,146.79,42.83999999999999
607,Lite Red Raw Rice1Kg,Pantry Staples,Rice,2.899999999999999,3.7999999999999985,0.8999999999999999,21.0,79.79999999999997,18.9
542,Indian Gate Super 6.250Kg,Pantry Staples,Rice,18.0,23.5,5.5,21.0,493.5,115.5
277,Curry Powder250G Kandyan,Pantry Staples,Sauces,2.0,3.9900000000000007,1.9899999999999998,21.0,83.79000000000002,41.78999999999999
861,Potato Gnocchi,Pantry Staples,Pasta,2.0,2.5,0.5,21.0,52.5,10.5
294,Delmage Jack Ma 425G,Pantry Staples,Canned Fish,3.5,4.5,1.0,20.0,90.0,20.0
197,Chilli Crushed 250G Kandyan,Pantry Staples,Spices,2.0,3.9900000000000007,1.9899999999999998,20.0,79.8,39.8
659,Md Chilli Paste 200G,Pantry Staples,Spices,3.189999999999999,3.5,0.3099999999999999,20.0,70.0,6.1999999999999975
1077,Urid Whole White 1Kg,Pantry Staples,Grains And Pulses,4.07,4.99,0.92,20.0,99.79999999999998,18.400000000000006
834,Pineapple Jam Kist300G,Pantry Staples,Condiments,2.0,2.799999999999999,0.8000000000000003,20.0,55.99999999999998,16.000000000000007
868,Premium 5K Pattu,Pantry Staples,Rice,10.620000000000001,13.5,2.880000000000001,20.0,270.0,57.600000000000016
1004,Sun Dried Tomato 100G,Pantry Staples,Condiments,0.0,2.0,2.0,19.0,38.0,38.0
1120,Wijaya Kurakkan Flour 400G,Pantry Staples,Flour,1.8999999999999995,2.990000000000001,1.09,19.0,56.810000000000024,20.71
158,Captain Jack Mackerl 400G,Pantry Staples,Canned Fish,3.5,4.49,0.9899999999999999,19.0,85.31,18.81
752,Olive Pickle 400G,Pantry Staples,Pickle,2.0,2.990000000000001,0.9899999999999999,19.0,56.810000000000024,18.81
