item_name,main_category,sub_category
Wijaya Tumaric Powder 250g,Pantry Staples,Spices
Yellow Mustard seeds 100g,Pantry Staples,Spices
Derana Mutton curry mix 350g,Pantry Staples,Spices
Derana Jaffna curry powder 350g,Pantry Staples,Spices
Derana Mustard Powder 200g,Pantry Staples,Spices
Derana Pepper Powder 200g,Pantry Staples,Spices
Derana R/chilli powder 250g,Pantry Staples,Spices
Mastiha 15g,Pantry Staples,Spices
Nutmeg,Pantry Staples,Spices
Cardamom Green 100g,Pantry Staples,Spides
Amber Jewl plum,Fresh Produce,Stonefruits
Apricots,Fresh Produce,Stonefruits
Autum Giant Plum,Fresh Produce,Stonefruits
Black Plum,Fresh Produce,Stonefruits
Blood Plums,Fresh Produce,Stonefruits
candy gem plum,Fresh Produce,Stonefruits
Dapple Dandy Plum,Fresh Produce,Stonefruits
Nectarine White,Fresh Produce,Stonefruits
Nectarine Yellow,Fresh Produce,Stonefruits
Peach clingstone,Fresh Produce,Stonefruits
peaches white,Fresh Produce,Stonefruits
Peaches Yellow,Fresh Produce,Stonefruits
Plums Angelino,Fresh Produce,Stonefruits
Plums Flavour,Fresh Produce,Stonefruits
Plums october sun,Fresh Produce,Stonefruits
Plums Red,Fresh Produce,Stonefruits
President Plum,Fresh Produce,Stonefruits
Sugar Plum,Fresh Produce,Stonefruits
Brown Sugar 1kg,Pantry Staples,Sugar
Icing Gem 200g,Pantry Staples,Sugar
Icing Sugar 500g,Pantry Staples,Sugar
Kithul Jaggary 450g,Pantry Staples,Sugar
Kithul Jaggery 300g,Pantry Staples,Sugar
Kithul jaggery 500g se,Pantry Staples,Sugar
Kithul Treacle360ml,Pantry Staples,Sugar
Raw Sugar 1kg,Pantry Staples,Sugar
vanila powder 15g,Pantry Staples,Sugar
Vanila Twists 250g,Pantry Staples,Sugar
MD Kithul Juggery 500g,Pantry Staples,Sugar
Derana Kithul Jaggary 450g,Pantry Staples,Sugar
Motha Strawberry flavour Jelly100g,Pantry Staples,Sugar
Swiss Roll vanila,Pantry Staples,Sweet
Chocolate Almond Bread,Breads & Bakery,Sweet Bread
Liittle Chocolate Roll,Breads & Bakery,Sweet Bread
Almond Bread,Breads & Bakery,Sweet Bread
Sweetloaf,Breads & Bakery,Sweet Bread
Motha Caramel 100g,Breads & Bakery,Sweets
Motha Jelly Lime flavoured,Breads & Bakery,Sweets
Motha Wattalappan 110g,Breads & Bakery,Sweets
March Mallows100g uswatte,Snacks,Sweets
March Mallows200g uswatte,Snacks,Sweets
Black Tea 100,Beverages,Tea
Delmage Tea Pouch 200g,Beverages,Tea
Ginger Black Tea,Beverages,Tea
Ginger Tea 200g,Beverages,Tea
Green Tea Mint,Beverages,Tea
Harischandra coffee 100g,Beverages,Tea
Hibiscus Tea,Beverages,Tea
Juicy Peach Black Tea 465ml,Beverages,Tea
Karela Tea,Beverages,Tea
Link Enriched Paspanguwa,Beverages,Tea
Link Samahan 10Pac,Beverages,Tea
Link Samahan 25 Pac,Beverages,Tea
Link Samahan 5 Pac,Beverages,Tea
Masala Chai Tea,Beverages,Tea
Samahan 30Pack,Beverages,Tea
Tea Coconut Cream,Beverages,Tea
Tea Dried Keerameen 250g,Beverages,Tea
Zesty Lemon Black Tea 465ml,Beverages,Tea
Paspanguwa seren,Beverages,Tea
Barley Rusk,Breads & Bakery,Toast
Barley Rusk Samaria,Breads & Bakery,Toast
Bread Crumbs 500g,Breads & Bakery,Toast
Ghee Toasst,Breads & Bakery,Toast
Mini Toasts Original Recipe 100g,Breads & Bakery,Toast
Sweet Rusk,Breads & Bakery,Toast
Toast,Breads & Bakery,Toast
Wholemeal Rusk 230g,Breads & Bakery,Toast
Mini Toasts olive oil 100g,Breads & Bakery,Toast
Mini Toasts Wholemeal 100g,Breads & Bakery,Toast
Adelaide Tomatoes,Fresh Produce,Tomatoes
Black Russian Tomato,Fresh Produce,Tomatoes
Cherry Tomatoes 250g,Fresh Produce,Tomatoes
cherry Truss tomato,Fresh Produce,Tomatoes
Cocktail Tomatoes,Fresh Produce,Tomatoes
Field Tomatoes,Fresh Produce,Tomatoes
Mix cherry tomatoes,Fresh Produce,Tomatoes
Mix Medley Tomatoes,Fresh Produce,Tomatoes
Tomato,Fresh Produce,Tomatoes
Tomato Field,Fresh Produce,Tomatoes
Tomato mini roma 250g,Fresh Produce,Tomatoes
tomato sweet cherry vine,Fresh Produce,Tomatoes
Tomatoes Cherry,Fresh Produce,Tomatoes
tomatoes Grape,Fresh Produce,Tomatoes
Tomatoes Hydroponic,Fresh Produce,Tomatoes
Tomatoes Roma,Fresh Produce,Tomatoes
Tomatoes Truss,Fresh Produce,Tomatoes
Custard Apple,Fresh Produce,Tropical Fruits
Dragonfruit,Fresh Produce,Tropical Fruits
Guava,Fresh Produce,Tropical Fruits
Keow Mango,Fresh Produce,Tropical Fruits
Longans,Fresh Produce,Tropical Fruits
Lychees,Fresh Produce,Tropical Fruits
Mango Ataulfo,Fresh Produce,Tropical Fruits
Papaws Yellow,Fresh Produce,Tropical Fruits
Papaya Red,Fresh Produce,Tropical Fruits
Passionfruit,Fresh Produce,Tropical Fruits
Pawpaw,Fresh Produce,Tropical Fruits
Pineapple,Fresh Produce,Tropical Fruits
Pineapple sweet Large,Fresh Produce,Tropical Fruits
Pomegranate,Fresh Produce,Tropical Fruits
Prickly pears,Fresh Produce,Tropical Fruits
R2E2 Mango,Fresh Produce,Tropical Fruits
Rambutan,Fresh Produce,Tropical Fruits
TPP Mango,Fresh Produce,Tropical Fruits
Beans Snake,Fresh Produce,Veggies
Black Spanish Queen Olives,Fresh Produce,Veggies
Borlotti Beans,Fresh Produce,Veggies
Galangal,Fresh Produce,Veggies
Jerusalem Artichokes,Fresh Produce,Veggies
Kalamata Olives,Fresh Produce,Veggies
Mustard Leaves,Fresh Produce,Veggies
Red Onion,Fresh Produce,Veggies
Sprouts bean shoots,Fresh Produce,Veggies
Witlof red,Fresh Produce,Veggies
Balsamic Vinegar 500ml,Pantry Staples,Vinegar
Derana Coconut Vinegar 750ml,Pantry Staples,Vinegar
Derana coconut viniger 350ml,Pantry Staples,Vinegar
MD Coconut Vinegar 350ml,Pantry Staples,Vinegar
Vinegar 350ml,Pantry Staples,Vinegar
White vinegar 500ml,Pantry Staples,Vinegar
MD Fresh Chilli & Vinegar,Pantry Staples,Vinegar
Spring Water 600ml,Beverages,Water
